gold,toxicity,text,pred
Sexiste,0.055026773,"Le coeur d'une Femme devrait être tellement proche d'Allah que pour le trouver, l'Homme devrait trouve l'amour d'ALLAH avant l'amour de la Femme.,Rose",OUI
Sexiste,0.053295042,"La crue c’est comme ma femme, elle est arrivée déterminée et détrempée et elle est repartie avec mes meubles.",OUI
Sexiste,0.051068526,Deux copains discutent : -Il paraît que ta femme t'a fait une scène terrible ! Comment cela s'est-il terminé? -Elle a fini par se traîner http://bit.ly/2mFocfL #Blague,OUI
Sexiste,0.050821137,"Je dois avouer que, lors de mon divorce, les torts était partagés : - 50% des torts à ma femme, - 50% à sa mère. http://www.1blague.com/blagues/couples-mariages/blague-1268 #blague #humour #lol pic.twitter.com/lr3FATfUvN",OUI
Sexiste,0.049089402,Hésiter est déjà une part de oui... #femmes #moiaussi,OUI
Sexiste,0.048099842,"Pour qu'une sportive réussisse financièrement aussi bien qu'un homme dans sa discipline, il ne lui est même pas nécessaire de réaliser 1/3",OUI
Sexiste,0.04711028,"Sujet: Peut-on qualifier d’accident du travail le fait pour une actrice X de tomber enceinte ? 🤰🏼 @CorpoPasteur #oratio #concours #eloquence pic.twitter.com/DW1SXSuKz0,Femme enceinte (teint clair moyen),Visage songeur",OUI
Sexiste,0.0466155,"Quand tu drague une go tu as son temps Quand tu la gères, et que tu la moussé une ou deux fois, tu n'as plus son temps tchai",OUI
Sexiste,0.046120718,Il a la voiture... il aura la femme #cars #audi #ironie #kids http://instagram.com/p/sFKt1plDtN/,OUI
Sexiste,0.0438942,Un sport où une femme enceinte de +7mois peut participer au niveau olympique est un sous-sport. Le #Tir au fusil n'a rien à fR aux #J02012,OUI
Sexiste,0.04216247,En cette journée de la femme je tiens à saluer particulièrement les FEMENS ! #Ironie,OUI
Sexiste,0.04166769,Revnir à la maison pas question j’suis parti comme un homme j’reviendrais comme un homme les poches remplis d’liasson,OUI
Sexiste,0.041172907,Le meilleure réconfort chez une femme c'est de savoir qu'elle est importante pour vous . #Follow pour ne pas raté nos paroles touchant.,OUI
Sexiste,0.03969839,Ma femme elle parle une fois de foot je la quitte.,OUI
Sexiste,0.039226998,MDRRRRRRRRR Très délicat pour une fille xD #Ironie #LRT,OUI
