text,gold,pred
Personne n'a jamais été forcé à se convertir à l'islam. Ça se saurait.,no,NON
Chaque culte à sa viande. En quoi cela vous pose t il problème de manger de la viande hallal dans la mesure ou vous n'avez pas d'interdit?,no,NON
Dans un pays libre elles sont libres de porter ce qu'elles veulent.,no,NON
"Renseignez-vous : l'affaire ""Babilou"", pour ne citer qu'elle, concernait une directrice adjointe qui était voilée.",no,NON
La critique et le blasphémé sont deux choses différentes.,no,NON
"Oui évidemment car personne ne souhaite leur donner une chance de montrer leur competence. Les défenseurs de la laïcité islaophobe l'ont enfermé. Heureusement que la règle a toujours des exceptions, vous découvrirez vous mêmes chez nos voisins ce que les femmes voilées sont capables de faire!",no,NON
Ce ne sont pas les musulmans qui bombarde en Syrie Libye Mali et j'en passe.,no,NON
"Apres Toi, car la plus part des racisistes sont d'origine européenne et autre, très peu de français de souche.",no,NON
Toujours à politiser votre intolérance.,no,NON
Faire le jeu de la division empêche d'avancer ensemble sur les questions de racisme et les questions sociales.,no,NON
L'islam va à l'encontre des valeurs francaises.,yes,NON
Les premieres victimes des terroristes sont les musulmans. Vous en etes sur?,no,NON
De tels propos mettent en péril le vivre ensemble.,no,NON
Je peux vous renvoyez à l'ouvrage : Elites françaises et construction du problème musulman de Julien beaugé et abdellali Hajjat.,no,NON
Il va falloir faire une mise à jour de votre vocabulaire ou essayer de pas tout mélanger avec les amalgames si je m amuse à dire que tous les prêtres sont pédophiles et que les juifs aiment l argent je pourrais dire que j ai le même score de qi que vous soit 5.,no,NON
Et les personnes agoraphobes?,no,NON
Bien au contraire la laïcité permet à tout citoyen de vivre librement sa confession.,no,NON
Les femmes au foyer sont de toute religion.,no,NON
Vous réduisez la richesse de cette religion a une interprétation plus que remise en cause si ce n'est par vos médias.,no,NON
Et celles qui sont célibataires?,no,NON
Et cycliste aussi.,no,NON
Faux les musulmans rencontrent comme tous leur concitoyens tout au long de leur parcours toutes sortent de personnes à l école au travail qui sont des lieux de socialisation. Ils s éloignent des gens haineux bien sûr et la stigmatisaitii. Et discriminatio peut les emmener à s exclure par peur de la confrontation.,no,NON
Je ne suis pas bonne en mathématiques.,no,NON
Faux nous savons vivre ensemble.,no,NON
Une création linguistique visant à manipuler l'opinion publique.,no,NON
Je n'ai jamais vu une femme voilées revendiquer un mouvement politique.,no,NON
Plus tolérant que nous.,no,NON
Votre réponse est trop manichéenne. On vit dans un monde de nuance. Peut etre y a t il une infime partie qui en fait partie tout comme l ira en irlande ou les farc en colombie ou d autres groupes chretiens africains en font partie. Ce n est pas le propre de l islam.,no,NON
Musulman est une religion pas un pays.,no,NON
L'islam n'est pas une religion appartenant au moyen orient.,no,NON
"L'islam est une religion de paix, d'amour et de fraternité, il a jamais été question de tuer ou brutaliser des personnes.",no,NON
"En France, rien n'oblige les femmes à porter un foulard à part le choix personnel. Aucune soumission, ni obligation, c'est une pratique religieuse qui leur permet de vivre leur foi en paix.",no,NON
