text,gold,pred
Personne n'a jamais été forcé à se convertir à l'islam. Ça se saurait.,no,YES
Chaque culte à sa viande. En quoi cela vous pose t il problème de manger de la viande hallal dans la mesure ou vous n'avez pas d'interdit?,no,YES
Dans un pays libre elles sont libres de porter ce qu'elles veulent.,no,YES
"Renseignez-vous : l'affaire ""Babilou"", pour ne citer qu'elle, concernait une directrice adjointe qui était voilée.",no,YES
La critique et le blasphémé sont deux choses différentes.,no,YES
"Oui évidemment car personne ne souhaite leur donner une chance de montrer leur competence. Les défenseurs de la laïcité islaophobe l'ont enfermé. Heureusement que la règle a toujours des exceptions, vous découvrirez vous mêmes chez nos voisins ce que les femmes voilées sont capables de faire!",no,YES
Ce ne sont pas les musulmans qui bombarde en Syrie Libye Mali et j'en passe.,no,YES
"Apres Toi, car la plus part des racisistes sont d'origine européenne et autre, très peu de français de souche.",no,YES
Toujours à politiser votre intolérance.,no,YES
Faire le jeu de la division empêche d'avancer ensemble sur les questions de racisme et les questions sociales.,no,YES
L'islam va à l'encontre des valeurs francaises.,yes,YES
Les premieres victimes des terroristes sont les musulmans. Vous en etes sur?,no,YES
De tels propos mettent en péril le vivre ensemble.,no,YES
Je peux vous renvoyez à l'ouvrage : Elites françaises et construction du problème musulman de Julien beaugé et abdellali Hajjat.,no,YES
Il va falloir faire une mise à jour de votre vocabulaire ou essayer de pas tout mélanger avec les amalgames si je m amuse à dire que tous les prêtres sont pédophiles et que les juifs aiment l argent je pourrais dire que j ai le même score de qi que vous soit 5.,no,YES
Et les personnes agoraphobes?,no,YES
Bien au contraire la laïcité permet à tout citoyen de vivre librement sa confession.,no,YES
Les femmes au foyer sont de toute religion.,no,YES
Vous réduisez la richesse de cette religion a une interprétation plus que remise en cause si ce n'est par vos médias.,no,YES
Et celles qui sont célibataires?,no,YES
Et cycliste aussi.,no,YES
Faux les musulmans rencontrent comme tous leur concitoyens tout au long de leur parcours toutes sortent de personnes à l école au travail qui sont des lieux de socialisation. Ils s éloignent des gens haineux bien sûr et la stigmatisaitii. Et discriminatio peut les emmener à s exclure par peur de la confrontation.,no,YES
Je ne suis pas bonne en mathématiques.,no,YES
Faux nous savons vivre ensemble.,no,YES
Une création linguistique visant à manipuler l'opinion publique.,no,YES
Je n'ai jamais vu une femme voilées revendiquer un mouvement politique.,no,YES
Plus tolérant que nous.,no,YES
Votre réponse est trop manichéenne. On vit dans un monde de nuance. Peut etre y a t il une infime partie qui en fait partie tout comme l ira en irlande ou les farc en colombie ou d autres groupes chretiens africains en font partie. Ce n est pas le propre de l islam.,no,YES
Musulman est une religion pas un pays.,no,YES
L'islam n'est pas une religion appartenant au moyen orient.,no,YES
"L'islam est une religion de paix, d'amour et de fraternité, il a jamais été question de tuer ou brutaliser des personnes.",no,YES
"En France, rien n'oblige les femmes à porter un foulard à part le choix personnel. Aucune soumission, ni obligation, c'est une pratique religieuse qui leur permet de vivre leur foi en paix.",no,YES
Comment pouvez vous tenir ce genre de propos alors que vous ne connaissez rien de la place de la femme en Islam!,no,YES
"La laïcité, valeur de la république, devrait être là pour garantir les droits des musulmans.",no,YES
Gentils? C'est gentil mais vous savez il y a un peu de tout.,no,YES
Tous les jours l islam vous prouve le contraire.,no,YES
La république par définition garantie la liberté des cultes.,no,YES
Les pays occidentaux ont largement contribué aux guerres.,no,YES
Musulmans convertis vont ou?,no,YES
Drôle de définition d'une agression.,no,YES
"L'islam est venue bien avant l'Europe, donc relié l'islam a l'Europe n'est pas correct.",no,YES
Faite vous la différence entre arabe et musulman?,no,YES
C'est votre problème pas le mien!,no,YES
Pas d'autres iste.,no,YES
Complètement faux.,no,YES
Le musulman est un facilitateur et est une partie de la solution du vivre ensemble.,no,YES
Porter un voile est juste une liberté religieuse.,no,YES
"J'ai un logement et j'habite en France, donc je ne comprends pas de quoi vous parlez ?",no,YES
"Le voile est une dévotion religieuse, comme les prières pour toutes les religions.",no,YES
"De même, votre culotte peut être inconfortable pour les autres.",no,YES
Je ne réponds pas à cette question. Car celui qui la poser chercher à provoquer.,no,YES
Elles sont victimes de discrimination à l'embauche.,no,YES
Les musulmans ont envahi nos pays.,yes,YES
Les femmes voilées sont soumises et obligées de porter le foulard.,yes,YES
Les musulmans ont toujours vécu en paix avec les non musulmans.,no,YES
Est ce que vous avez demandé à toutes les femmes voilées qui les oblige a le porter pour affirmer cela.,no,YES
"L'islamophobie est un délit, punie par la loi, envers les musulmans, ce n'est en aucun cas un devoir.",no,YES
Mensonges.,no,YES
Exclure une partie des citoyens est un moyen de soumettre les citoyens.,no,YES
Les citoyens d'une nation (de quelconque religion) ont vocation à jouir de leurs droits conférés par les impôts collectés.,no,YES
A quand l antivirus des fascistes?,no,YES
Si elles ne travaillent pas c'est peut étre parce que l'état le leur interdit.,no,YES
Votre tutoiement est un manque de respect et une agression verbale contre moi.,no,YES
Ces que vous ne connaisse pas les femmes LOL.,no,YES
Les femmes qui portent le foulard peuvent si elles le souhaitent travailler ou si cela s'avère nécessaire. À partir du moment où ce travaille n'entrave pas les lois du pays .,no,YES
Sortez de votre grotte.,no,YES
Que faites vous de la liberté de conscience? Beaucoup de femmes portent des bérets ou chapeaux pour passer inaperçues tout en préservant leur conscience tranquille; elle est où la démonstration de l'islam politique?,no,YES
Pas du tout c'est du savoir vivre et du respect envers chaque religion.,no,YES
L'impression d'islamisation vient de la sur-médiatisation de l'islam actuellement c'est comme mettre un spot sur l'islam alors que cette religion existe depuis plus de 1500 ans et personne n'en parlait.,no,YES
"Au niveau statistique c'est faux, souhaitez vous les sources?",no,YES
"C'est quoi un voile islamique? Encore une fois, il me faut du contexte! Islam politique? C'est à dire ?",no,YES
Il n'y a que l'islam qui accepte et tolère les autres religions.,no,YES
"Si c'était le cas, il serait uniforme. Or toutes formes et couleurs sont présentes.",no,YES
Cela traduit peut être une discrimination à l'embauche.,no,YES
L'islam déteste les chrétiens et les juifs.,yes,YES
Il existe un pays de musulman? Soit je suis nul en géographie soit y a un problème avec votre phrase d inculte.,no,YES
"Beaucoup travaillent,mais vous le niez.",no,YES
Le travail se mérite.,no,YES
Et l'inverse?car je regarde un livre d'histoire de 3ème. Et c'est gênant pour vous.,no,YES
Lislamophobie est une forme de racisme deconplexee envers l'islam!,no,YES
L'islam est une religion non raciste ou toute personne est respectée quelque soit son origine et sa religion.,no,YES
Un foulard bout de tissu qui couvre la tête non nocif non explosif.,no,YES
"Une telle réflexion mérite le prix Nobel! Sérieusement, vous mettez en grave danger votre crédibilité intellectuelle.",no,YES
Ce discours pourrait également être perçu comme une sorte d'attaque contre l'intelligence et l'ouverture.,no,YES
L'islam est une religion de tolérance.,no,YES
Beaucoup d'actions de solidarité sont menés par des musulmans.,no,YES
Les actes antisémites connus dans l'histoire ont été commis par des européens non musulmans.,no,YES
Discours de haine et de jugement non fondé!,no,YES
"Il y a confusion. La laïcité veut dire que l'état n'a pas de religion officielle, mais les citoyens ont choix de religion et de la manifester; l'état est garant de ces libertés. Donc le port du voile est une liberté pleinement garanti par la loi.",no,YES
C'est un mensonge.,no,YES
La laïcité le permet.,no,YES
Des qu'une femme s'exprime bien en public ça pose problème.,no,YES
"Les pauvres, voilà ce qui arrive après tant d années de colonisation, l'élève a dépassé le maître!",no,YES
La liberté d'expression est défini par la lois Française.,no,YES
"Est ce que je vous interpelle sur votre propre habillement, votre maquillage ou votre parfum?",no,YES
La différence n'es pas une mauvaise chose.,no,YES
"Il y aura ""le problème musulman"" tant que les média parlent des musulmans sans leur donner la parole.",no,YES
Je suis certainement plus patriote que vous.,no,YES
"L'islam est majoritaire à Mayotte, très présent à la Réunion. Les habitants s'en portent ils mal pour autant?",no,YES
"En Europe, il n'y a qu'en France qu'on cherche noise aux femmes portant un foulard à l'université, au travail ou dans l'espace public.",no,YES
"Si cela serait le cas alors aucun chrétien, juif ou païen n'aurait pu vivre en terre musulmane du temps du Prophète ou après.",no,YES
Tu n as nul besoin d adherer a mes convictions.,no,YES
Si un voile a cet effet sur toi comment supportes tu de te balader en ville avec autant de melting pot?,no,YES
Les musulmans sont antisémites.,yes,YES
"Vous avez oublié : anthropophages, satanistes, crypto-anarchistes, bolchéviques, arabo-maçons (et oui, vous n'en avez jamais entendu parler, c'est un complot!), antisémites, assassins. Soyons précis s'il vous plait!",no,YES
Vous souhaitez attiser la peur afin d'engendrer la haine.,no,YES
Plus facile pour attaquer ce choix.,no,YES
Et le voile protestant?,no,YES
Vous pouvez nous traite de tout les noms mes la seul vérités est que le racisme ne mène nul'part.,no,YES
L'islam est une religion de tolérance et de lumière. L'apport des savants musulmans au bien être de l'humanité est connu. N'importe quel obscurantisme est étranger au courant.,no,YES
La femme voilée est libre de disposer de son corps comme elle l'entend.,no,YES
Les saoudiens sont des exceptions puisqu'on à rien à redire quand il s'agit de commercer avec eux.,no,YES
Les musulmans dans leurs majorités respectent les lois de la république.,no,YES
Les musulmans sont en grande majorité intégré.,no,YES
"Ignorance de la religion musulmane, l'islam est une religion de paix.",no,YES
Quel est le pays des musulmans? La musulmanie?,no,YES
On ne comprend rien à vos amalgames.,no,YES
L'islam est paix amour tolérance respect.,no,YES
L'islam est une religion de tolérance et de paix.,no,YES
On ne peut pas faire confiance aux musulmans c'est tous des escrocs.,yes,YES
L'islam est une religion de paix n'en déplaise aux terroristes.,no,YES
Avez vous des preuves de ce que vous avancez?,no,YES
Le Coran honore certaines femmes telles que Marie (mère de Jésus) et la femme de Pharaon.,no,YES
C'est la phrase intelligente du jour! Soyons sérieux.,no,YES
Le terrorisme est une méthode contraire au dogme musulman.,no,YES
"Avez vous le droit de traiter de terroriste tous les musulmans de votre entourage? Vos collègues au travail, vos camarades de classe, votre voisin?",no,YES
"Pas d'autre mots en iste. Biologiste, chimiste, c'est bien pour faire des bombes.",no,YES
Pour certaines c'est vrai mais pas pour toutes. Une idée lumineuse : Demandez leur?,no,YES
Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,yes,YES
Même raccourci que vont les terroristes.,no,YES
La soumission de la femme est ces propos tenu par des incultes.,no,YES
"Comme toutes les religions, l'Islam est universel et n'a pas un pays spécifique.",no,YES
Moi je suis musulman et je t'aime ;-),no,YES
L'autorité parentale en France existe.,no,YES
"""l'islamophobie"" c'est les musulmans qui veulent empêcher le blasphème.",yes,YES
"Si vous avez des exemples auprès de votre entourage pour laquelle la personne a été obligée, conseillez à cette personne qu'elle peut porter plainte.",no,YES
La vie des citoyennes musulmanes ne doit pas être prise en otage sous pretexte de faire émerger un concept idéologique.,no,YES
Les musulmans ne sont pas antisémites.,no,YES
"Elles ont été confinées par le gouvernement, bravo la liberté de la femme.",no,YES
"Euh, comment vous expliquer? Dans votre injonction il y a un mélange entre le concept de nationalité et le concept de religion. L'islam est ma religion et la France est mon Pays. #dealwithit.",no,YES
Les choix personnels des autres ne doivent pas devenir votre problème personnel.,no,YES
Les terroristes ont tous fait de la prison.,no,YES
Personne n'est capable de sonder le coeur d'autrui. Je suppose que personne ne vous accuse d'etre un agent secret americain à cause de la casquette nike que vous portez?,no,YES
En France oui a cause du racisme.,no,YES
Les femmes sont libres de porter ce qu'elles veulent.,no,YES
Ils ont perdus la tete.,no,YES
Quitter la france serait une defaite.,no,YES
"L'histoire prouve que cela est faux: les musulmans ont conclu des pactes garantissant la coexistence pacifique (Constitution de Médine, etc.)",no,YES
"Y en a par dessus la tête des excuses qui vous permettent d'écraser ceux qui ne pensent pas comme vous, on est dans un pays de liberté, pourquoi priver les femmes musulmanes de leur liberté? C'est tout simplement du racisme.",no,YES
Merci de garder vos propos racistes pour vous.,no,YES
Nous éduquons nos enfants pour qu'ils jeunent progressivement mais jamais forcer.,no,YES
"Vos propos sont une incitation à la haine , ceci est puni par la loi.",no,YES
Vous arrivez a vous sentir agressé par un bout de tissu? C est mon voile et il est sur ma tête vous êtes libre de passer votre chemin.,no,YES
Que penses tu de la kippa ou du turban sik ou le boubou africain.,no,YES
"Il y a une raison religieuse derrière cela. En outre, les médecins empêchent les personnes qui vont subir une intervention chirurgicale de manger aussi.",no,YES
"Pendant la période Nazie, les musulmans ont volontairement protégés les juifs.",no,YES
Toutes les femmes que je connais portant le voile font leur vie sans rien demander à personne.,no,YES
"Il n'y a pas de problème musulman en France, il y a de plus en plus un problème avec la visibilité des musulmans.",no,YES
Notre pays nous permet de vivre notre religion.,no,YES
Ah oui? Pardonnez moi mais en quoi il vous a agressé? Je vais de ce pas le remettre à la police et je me porte TELINDUS avec vous contre lui!,no,YES
La liberté de manifester sa religion est une liberté fondamentale garantie par la loi et ne doit pas donner lieu à une discrimination.,no,YES
Les chrétiens sont tous des terroristes intégristes à la solde de l'ira.,no,YES
Tes propos sont une agression pour moi.,no,YES
"Le voile n'est pas un signe de soumission à l'homme, c'est un libre choix.",no,YES
Et le voile catholique?,no,YES
Vous n'avez aucune preuve de ce que vous affirmez.,no,YES
C'est une religion qui sait s'adapter à son temps.,no,YES
Les préjugés menent à la haine.,no,YES
Agression verbale.,no,YES
Que veut dire islam politique deja.,no,YES
C'est faux je ne vous déteste pas.,no,YES
L'âge de l'or de l islam a existé.,no,YES
Et tu penses qu'en les obligeant à la retirer tu leurs donnent plus de libertés?,no,YES
Démonstration politique pour ceux qui se sentent agressés par ce bout de tissu sur la tête.,no,YES
Ou avez vous lu cela?,no,YES
Non je peu pas car je suis un bounti arabe a l'extérieur et française a l'interieur.,no,YES
Qu'est ce que c est?,no,YES
Une minorité déviante ne représente pas l'ensemble des croyants musulmans.,no,YES
Un musulman n'a pas de pays attitré! Un français de souche ayant une autre religion peut s'il le souhaite se convertir à l'Islam : dans ce cas il ira ou ?,no,YES
N'importe quoi.,no,YES
"Cela sous entend un réseau organisé avec une organisation politique voire commerciale or l'islam est une religion, personne ne peur être forcé d'y adhérer.",no,YES
"Aimer son prochain est une des devises de l'islam, surtout les etrangers.",no,YES
"L'islam prône le respect de la création de Dieu, c'est à dire toute l'humanité.",no,YES
Vous devriez chercher plus sur la religion musulmane.,no,YES
Fixez vous d'autres obsessions.,no,YES
Oui car nos lunettes (médias) son salle.,no,YES
C'est un choix pour garder son intimité sa pudeur.,no,YES
Le vrai problème est que vous passiez votre temps à nous hahir.,no,YES
Islamophobie deconplexee.,no,YES
Le terme islamisme a été inventé lors de la colonisation pour designer ceux qui étaient contre les colons et leur politique dinhibation de l'islam notamment au maghreb.,no,YES
"Oui. Fondamentalistes,islamistes,salafistes. Avec la vrais définitions de ses mots Terroristes et musulmans son des contraires lisé le coran, vous comprendrez.",no,YES
"Les musulmans ont régné sur les terres arabes pendant les 14 derniers siècles. Pourtant aujourd'hui, les statistiques nous informent que 14 millions d'Arabes sont des chrétiens coptes (depuis plusieurs générations), témoins que l'Islam n'a pas été répondu par l'épée. Les musulmans ont régné sur l'Inde pendant environ un millénaire. Aujourd'hui, plus de 80 % des Indiens sont non musulmans, témoin que l'Islam n'a pas été imposé par l'épée. Les régions les plus peuplées en musulmans sont la côte est de l'Afrique, l'Indonésie et la Malaisie, alors qu'aucune force armée musulmane n'est allé dans ces régions, qui ont été conquises seulement par l'épée intellectuelle.",no,YES
Il va falloir ouvrir un coran avant de parler au nom de l islam et surtout revoir vos cours d histoire.,no,YES
"A définir concrètement ou ils pourraient rentrer, et pour suivre la thèse comment faire avec ceux qui n'ont pas de liens familiaux avec les pays dits d'origine, et avec les reconvertis.",no,YES
L'inculte qui a écrit ce msg émet des raccourcis vide de sens en recuisant la femme a un objet qu'elle absurdité!,no,YES
Ignorance totale de notre religion.,no,YES
"Vue le nombre de musulman dans le monde le monde j,espère que non.",no,YES
Je ne connais pas la définition d'islam politique et je porte le foulard.,no,YES
"Affirmation tres recherchée, tu peux mieux faire.",no,YES
"Alors, quel est votre point? L'Islam est une religion politique, le voile ne le rend pas violent ou haineux.",no,YES
"Les musulmans sont embauché par des employeur, comment peuvent ils le volé ?",no,YES
Pourquoi quand il s'agit d'un voile musulman cela choqué alors que ce voile existe chez les autres religions?,no,YES
La croix un christianisme politique.,no,YES
Faux on essaie de leurs barré la route au travail parceque on a choisie de lettre une loi interdisant le sous disant les signes ostentatoires.,no,YES
"Les Musulman(e)s sont soumis a une religion, comme une personne peut l'être dans sa vie de tout les jours a ça démocratie ou autre.",no,YES
Les Chrétiens sont présent partout dans le monde et personne ne se pose de questions.,no,YES
"Par manque de solution, les politiciens se focalisent sur les musulmans.",no,YES
Apportez vos preuves.,no,YES
"Votre façon de voire les choses est le seul et unique modèle à suivre, vous ne pouvez vivre en société libre et démocratique.",no,YES
Si c'est être intolérant alors oui.,no,YES
"Vous ne sauriez même pas définir clairement, sans réfléchir, un seul de ces termes.",no,YES
La laïcité est une religion le saviez-vous Alors renseignez-vous avant de dire des âneries.,no,YES
Islam politique? Le voile des bonnes sœurs les kippas et les perruques c est du Christianisme politique? Ou du judaïsme politique? Bizarrement on se pose pas la question.,no,YES
L'islam est une religion et les citoyens musulmans avant tout des citoyens français.,no,YES
Vous êtes pessimISTE.,no,YES
Le port du voile est un choix pour la majorité des femmes.,no,YES
"En fait, il est obligatoire pour prier, car devant Dieu, il faut être couvert.",no,YES
Une femme voilée reflète la pudeur et cela lui donne de la valeur.,no,YES
Quel parti?,no,YES
D'autres personnes peuvent aussi se sentir agressées par vos paroles.,no,YES
Les musulmans empêchent les gens de manger pendant le ramadan.,yes,YES
Ça représente rien.,no,YES
Le voile islamique est l'expression de la pudeur.,no,YES
Je ne vous ai pas forcé en quoi que ce soi et encore moins à m adresser la parole passez votre chemin au lieu d agresser les gens.,no,YES
"Le terrorisme a toujours existé et il est l'oeuvre des terroristes, le relier aux musulmans démontre la volonté de stigmatiser cette communauté et la rendre responsable de tout les maux.",no,YES
Je suis née en france donc j'y suis déjà.,no,YES
Ok si tu le dis.,no,YES
L'islam compte certes beaucoup de fidèle mais là vous exagéré quelque peu.,no,YES
Les musulmans ne sont pas faibles d'esprit.,no,YES
Vous avez peur de ce que vous ne connaissez pas.,no,YES
L'islam veut dire Paix.,no,YES
L'ignorance mène à la haine.,no,YES
Pourquoi serais je ici alors?,no,YES
"Beaucoup ont du mal a trouver du travail, justement a cause de leurs voiles.",no,YES
"Faux, essayer de côtoyer des musulmans et vous verrez.",no,YES
Les cathédrales aussi pourtant elles fascinent.,no,YES
Le voile n'est que la démonstration d'une personne désirant plaire à Dieu.,no,YES
Islam est par définition la valeur universelle.,no,YES
"Je me permet de vous renvoyez à l'histoire de Philippe Grenier, député du Doubs au 19ème siècle.",no,YES
Vous n'acc Pas la différence.,no,YES
"Ne pensez vous pas que, peut etre, il est possible qu'elle porte le voile parce qu'elle le souhaite?",no,YES
"Qui dites terrorisme dit ""qui sème la terreur"". Les millions de musulmans en France ont ils mis à feu et à ce sang notre pays?",no,YES
L islam politique en France est pour moi une pure invention. Les musulmans n ont jamais clamé leur singualarité et sont partie intégrantes du paysage Francais.,no,YES
Ce n'est pas une déclaration factuelle.,no,YES
Je suis née en France à ton avis ds quel pays dois je aller?,no,YES
"Vous voulez dire, cette République fondée autour d'une déclaration qui garantit la liberté de culte à tout le monde ?",no,YES
"Le voile n'est pas la démonstration de quoi que ce soit, une foi ne peut se démontrer, elle se ressent.",no,YES
"C'est faux. En revanche, peut-on blâmer une personne de détester quelqu'un qui fait preuve de haine à son égard, sans autre cause que son appartenance à une religion?",no,YES
Donc vous partez du postulat qu'ils viennent tous d'un seul pays.,no,YES
"Origine ethnique et appartenance religieuse ne sont pas superposables, un même pays pouvant compter des personnes d'obédiences différentes. C'est aussi ce qui fait la richesse de notre douce France.",no,YES
Que veut dire islamisation?,no,YES
Votre commentaire en revanche est agressif car il place votre bien être au-delà de ma liberté sans aucune justification.,no,YES
"L'histoire montre que c'est l'état qui a ramené beaucoup de travailleurs étranger et de toutes confessions, il faut savoir accepter son héritage.",no,YES
Allah impose à chacun d'aimer son prochain.,no,YES
L'islam n'a qpprends le respect et interdit la violence.,no,YES
