text,gold,pred
Personne n'a jamais été forcé à se convertir à l'islam. Ça se saurait.,no,NO
Chaque culte à sa viande. En quoi cela vous pose t il problème de manger de la viande hallal dans la mesure ou vous n'avez pas d'interdit?,no,NO
Dans un pays libre elles sont libres de porter ce qu'elles veulent.,no,NO
"Renseignez-vous : l'affaire ""Babilou"", pour ne citer qu'elle, concernait une directrice adjointe qui était voilée.",no,NO
La critique et le blasphémé sont deux choses différentes.,no,NO
"Oui évidemment car personne ne souhaite leur donner une chance de montrer leur competence. Les défenseurs de la laïcité islaophobe l'ont enfermé. Heureusement que la règle a toujours des exceptions, vous découvrirez vous mêmes chez nos voisins ce que les femmes voilées sont capables de faire!",no,NO
Ce ne sont pas les musulmans qui bombarde en Syrie Libye Mali et j'en passe.,no,NO
"Apres Toi, car la plus part des racisistes sont d'origine européenne et autre, très peu de français de souche.",no,NO
Toujours à politiser votre intolérance.,no,NO
Faire le jeu de la division empêche d'avancer ensemble sur les questions de racisme et les questions sociales.,no,NO
L'islam va à l'encontre des valeurs francaises.,yes,NO
Les premieres victimes des terroristes sont les musulmans. Vous en etes sur?,no,NO
De tels propos mettent en péril le vivre ensemble.,no,NO
Je peux vous renvoyez à l'ouvrage : Elites françaises et construction du problème musulman de Julien beaugé et abdellali Hajjat.,no,NO
Il va falloir faire une mise à jour de votre vocabulaire ou essayer de pas tout mélanger avec les amalgames si je m amuse à dire que tous les prêtres sont pédophiles et que les juifs aiment l argent je pourrais dire que j ai le même score de qi que vous soit 5.,no,NO
Et les personnes agoraphobes?,no,NO
Bien au contraire la laïcité permet à tout citoyen de vivre librement sa confession.,no,NO
Les femmes au foyer sont de toute religion.,no,NO
Vous réduisez la richesse de cette religion a une interprétation plus que remise en cause si ce n'est par vos médias.,no,NO
Et celles qui sont célibataires?,no,NO
Et cycliste aussi.,no,NO
Faux les musulmans rencontrent comme tous leur concitoyens tout au long de leur parcours toutes sortent de personnes à l école au travail qui sont des lieux de socialisation. Ils s éloignent des gens haineux bien sûr et la stigmatisaitii. Et discriminatio peut les emmener à s exclure par peur de la confrontation.,no,NO
Je ne suis pas bonne en mathématiques.,no,NO
Faux nous savons vivre ensemble.,no,NO
Une création linguistique visant à manipuler l'opinion publique.,no,NO
Je n'ai jamais vu une femme voilées revendiquer un mouvement politique.,no,NO
Plus tolérant que nous.,no,NO
Votre réponse est trop manichéenne. On vit dans un monde de nuance. Peut etre y a t il une infime partie qui en fait partie tout comme l ira en irlande ou les farc en colombie ou d autres groupes chretiens africains en font partie. Ce n est pas le propre de l islam.,no,NO
Musulman est une religion pas un pays.,no,NO
L'islam n'est pas une religion appartenant au moyen orient.,no,NO
"L'islam est une religion de paix, d'amour et de fraternité, il a jamais été question de tuer ou brutaliser des personnes.",no,NO
"En France, rien n'oblige les femmes à porter un foulard à part le choix personnel. Aucune soumission, ni obligation, c'est une pratique religieuse qui leur permet de vivre leur foi en paix.",no,NO
Comment pouvez vous tenir ce genre de propos alors que vous ne connaissez rien de la place de la femme en Islam!,no,NO
"La laïcité, valeur de la république, devrait être là pour garantir les droits des musulmans.",no,NO
Gentils? C'est gentil mais vous savez il y a un peu de tout.,no,NO
Tous les jours l islam vous prouve le contraire.,no,NO
La république par définition garantie la liberté des cultes.,no,NO
Les pays occidentaux ont largement contribué aux guerres.,no,NO
Musulmans convertis vont ou?,no,NO
Drôle de définition d'une agression.,no,NO
"L'islam est venue bien avant l'Europe, donc relié l'islam a l'Europe n'est pas correct.",no,NO
Faite vous la différence entre arabe et musulman?,no,NO
C'est votre problème pas le mien!,no,NO
Pas d'autres iste.,no,NO
Complètement faux.,no,NO
Le musulman est un facilitateur et est une partie de la solution du vivre ensemble.,no,NO
Porter un voile est juste une liberté religieuse.,no,NO
"J'ai un logement et j'habite en France, donc je ne comprends pas de quoi vous parlez ?",no,NO
"Le voile est une dévotion religieuse, comme les prières pour toutes les religions.",no,NO
"De même, votre culotte peut être inconfortable pour les autres.",no,NO
Je ne réponds pas à cette question. Car celui qui la poser chercher à provoquer.,no,NO
Elles sont victimes de discrimination à l'embauche.,no,NO
Les musulmans ont envahi nos pays.,yes,NO
Les femmes voilées sont soumises et obligées de porter le foulard.,yes,NO
Les musulmans ont toujours vécu en paix avec les non musulmans.,no,NO
Est ce que vous avez demandé à toutes les femmes voilées qui les oblige a le porter pour affirmer cela.,no,NO
"L'islamophobie est un délit, punie par la loi, envers les musulmans, ce n'est en aucun cas un devoir.",no,NO
Mensonges.,no,NO
Exclure une partie des citoyens est un moyen de soumettre les citoyens.,no,NO
Les citoyens d'une nation (de quelconque religion) ont vocation à jouir de leurs droits conférés par les impôts collectés.,no,NO
A quand l antivirus des fascistes?,no,NO
Si elles ne travaillent pas c'est peut étre parce que l'état le leur interdit.,no,NO
Votre tutoiement est un manque de respect et une agression verbale contre moi.,no,NO
Ces que vous ne connaisse pas les femmes LOL.,no,NO
Les femmes qui portent le foulard peuvent si elles le souhaitent travailler ou si cela s'avère nécessaire. À partir du moment où ce travaille n'entrave pas les lois du pays .,no,NO
Sortez de votre grotte.,no,NO
Que faites vous de la liberté de conscience? Beaucoup de femmes portent des bérets ou chapeaux pour passer inaperçues tout en préservant leur conscience tranquille; elle est où la démonstration de l'islam politique?,no,NO
Pas du tout c'est du savoir vivre et du respect envers chaque religion.,no,NO
L'impression d'islamisation vient de la sur-médiatisation de l'islam actuellement c'est comme mettre un spot sur l'islam alors que cette religion existe depuis plus de 1500 ans et personne n'en parlait.,no,NO
"Au niveau statistique c'est faux, souhaitez vous les sources?",no,NO
"C'est quoi un voile islamique? Encore une fois, il me faut du contexte! Islam politique? C'est à dire ?",no,NO
Il n'y a que l'islam qui accepte et tolère les autres religions.,no,NO
"Si c'était le cas, il serait uniforme. Or toutes formes et couleurs sont présentes.",no,NO
Cela traduit peut être une discrimination à l'embauche.,no,NO
L'islam déteste les chrétiens et les juifs.,yes,NO
Il existe un pays de musulman? Soit je suis nul en géographie soit y a un problème avec votre phrase d inculte.,no,NO
"Beaucoup travaillent,mais vous le niez.",no,NO
Le travail se mérite.,no,NO
Et l'inverse?car je regarde un livre d'histoire de 3ème. Et c'est gênant pour vous.,no,NO
Lislamophobie est une forme de racisme deconplexee envers l'islam!,no,NO
L'islam est une religion non raciste ou toute personne est respectée quelque soit son origine et sa religion.,no,NO
Un foulard bout de tissu qui couvre la tête non nocif non explosif.,no,NO
"Une telle réflexion mérite le prix Nobel! Sérieusement, vous mettez en grave danger votre crédibilité intellectuelle.",no,NO
Ce discours pourrait également être perçu comme une sorte d'attaque contre l'intelligence et l'ouverture.,no,NO
L'islam est une religion de tolérance.,no,NO
Beaucoup d'actions de solidarité sont menés par des musulmans.,no,NO
Les actes antisémites connus dans l'histoire ont été commis par des européens non musulmans.,no,NO
Discours de haine et de jugement non fondé!,no,NO
"Il y a confusion. La laïcité veut dire que l'état n'a pas de religion officielle, mais les citoyens ont choix de religion et de la manifester; l'état est garant de ces libertés. Donc le port du voile est une liberté pleinement garanti par la loi.",no,NO
C'est un mensonge.,no,NO
La laïcité le permet.,no,NO
Des qu'une femme s'exprime bien en public ça pose problème.,no,NO
"Les pauvres, voilà ce qui arrive après tant d années de colonisation, l'élève a dépassé le maître!",no,NO
La liberté d'expression est défini par la lois Française.,no,NO
"Est ce que je vous interpelle sur votre propre habillement, votre maquillage ou votre parfum?",no,NO
La différence n'es pas une mauvaise chose.,no,NO
"Il y aura ""le problème musulman"" tant que les média parlent des musulmans sans leur donner la parole.",no,NO
Je suis certainement plus patriote que vous.,no,NO
"L'islam est majoritaire à Mayotte, très présent à la Réunion. Les habitants s'en portent ils mal pour autant?",no,NO
"En Europe, il n'y a qu'en France qu'on cherche noise aux femmes portant un foulard à l'université, au travail ou dans l'espace public.",no,NO
"Si cela serait le cas alors aucun chrétien, juif ou païen n'aurait pu vivre en terre musulmane du temps du Prophète ou après.",no,NO
