gold,toxicity,text,pred
Sexiste,0.9248995,sale fils de pute de keuf comen sa tu me met une amande tu mlaugmente paske jsuis insolent je retrouve ta femme jla viol et ta fille jesper elle a lcancer et elle meur,YES
Sexiste,0.9248995,XHAKA NIKE TOUT T MORT FDP QUITTE MON CLUB LAISSE TA FEMME A LONDRES ET QUITTE MON CLUB TA GROSSE MERE LA REINE DES PUTE SAYER VOUS M’NIKER MA VIE BANDE DE FDP,YES
Sexiste,0.91625386,bellerin sa mère est une salope son père est une salope sa femme est une salope quelle grosse salope ce fils de pute,YES
Sexiste,0.911035,"L’arbitre la tête de ma mère va bien niquer ta mère la pute, tes enfants les gros fils de pute et ta Femme qui se fait retourner par Bouna",NO
Sexiste,0.9029226,j’ai envie de lui foutre mon poing dans sa gueule et lui hurler que c’ une ptn de connasse,YES
Sexiste,0.89241093,Les cornes de la pute de ta femme,NO
Sexiste,0.89241093,PIQUE LA GIGA SALOPE QUI OUVRE LE SCORE ALLEZ BAISE TA FEMME VA,NO
Sexiste,0.88599813,"C’est une salope cette femme.,Tas de merde,Tas de merde,Tas de merde,Visage boudant,Visage avec des symboles sur la bouche,Visage boudant,Visage avec des symboles sur la bouche,Visage boudant,Visage avec des symboles sur la bouche,Pouce baissé,Pouce baissé,Pouce baissé",YES
Sexiste,0.88599813,Mais sa me degoute j’suis grod pourtant j’fais tous pour maigiri salope elle parle de sa en mode cnest une maladie sale chienne ta qua arreter les big mac et tu sera bien comme tous le monde sale pute nike ta mere sale chienne de grosse de merde jtencule,YES
Sexiste,0.8778702,Elle regrette tellement qu'elle n'a aucune réaction à l'annonce du verdict. Cette salope s'en bat les couilles. Crève connasse. #7a8 #7a8life #septahuit,YES
Sexiste,0.8778702,#LMEA manon grosse fouteuse de merde pauvre connasse rentre chez toi au lieu de faire la pouf a part ouvrir sa grande gueule et faire venir sa copine plastique pour encore foutre la merde avec ce malheureux paga pfff les 2 mal refaite vont encore tt gacher après le couple de cocu,YES
Sexiste,0.8696708,C’est gros fils de pute pr la copa de pute il donne leur mere les putes en ldc il se sont fait piétiné par la Roma ils ont mm pas dit un seul mot ces grosses salopes elle m’écœure cette équipe j’arrive plus avec de telle salope,YES
Sexiste,0.8696708,la pute de journaliste qui a crée ce hashtag mérite de se faire violé l'anus ! sale pute ! #Balancetonporc,NO
Sexiste,0.8696708,"c’est le fils que j’ai fait avec ta femme, et dieu sait qu’elle est sacrément moche la salope",YES
Sexiste,0.8696708,"Cette grosse pute de Morano et sa haine suintante, c’est la seule femme dont j’estime qu’elle mérite qu’elle soit rouée de coups tous les soirs par un mari violent et alcoolique https://twitter.com/admir_fdlrc/status/991651786703466496",YES
Sexiste,0.8696708,Kanye West c’est un fils de pute sa femme c’est une ptite pute ces belle sœur sont des ptite pute le père de sa femme la pute est un trans ces enfants les futur pute ont comme prénom des point cardinaux et malgré sa il ouvre encore sa grande gueule pour dire dla merde incroyable,YES
