text,gold,pred
Personne n'a jamais été forcé à se convertir à l'islam. Ça se saurait.,no,OUI
Chaque culte à sa viande. En quoi cela vous pose t il problème de manger de la viande hallal dans la mesure ou vous n'avez pas d'interdit?,no,OUI
Dans un pays libre elles sont libres de porter ce qu'elles veulent.,no,OUI
"Renseignez-vous : l'affaire ""Babilou"", pour ne citer qu'elle, concernait une directrice adjointe qui était voilée.",no,OUI
La critique et le blasphémé sont deux choses différentes.,no,OUI
"Oui évidemment car personne ne souhaite leur donner une chance de montrer leur competence. Les défenseurs de la laïcité islaophobe l'ont enfermé. Heureusement que la règle a toujours des exceptions, vous découvrirez vous mêmes chez nos voisins ce que les femmes voilées sont capables de faire!",no,OUI
Ce ne sont pas les musulmans qui bombarde en Syrie Libye Mali et j'en passe.,no,OUI
"Apres Toi, car la plus part des racisistes sont d'origine européenne et autre, très peu de français de souche.",no,OUI
Toujours à politiser votre intolérance.,no,OUI
Faire le jeu de la division empêche d'avancer ensemble sur les questions de racisme et les questions sociales.,no,OUI
L'islam va à l'encontre des valeurs francaises.,yes,OUI
Les premieres victimes des terroristes sont les musulmans. Vous en etes sur?,no,OUI
De tels propos mettent en péril le vivre ensemble.,no,OUI
Je peux vous renvoyez à l'ouvrage : Elites françaises et construction du problème musulman de Julien beaugé et abdellali Hajjat.,no,OUI
Il va falloir faire une mise à jour de votre vocabulaire ou essayer de pas tout mélanger avec les amalgames si je m amuse à dire que tous les prêtres sont pédophiles et que les juifs aiment l argent je pourrais dire que j ai le même score de qi que vous soit 5.,no,OUI
Et les personnes agoraphobes?,no,OUI
Bien au contraire la laïcité permet à tout citoyen de vivre librement sa confession.,no,OUI
Les femmes au foyer sont de toute religion.,no,OUI
Vous réduisez la richesse de cette religion a une interprétation plus que remise en cause si ce n'est par vos médias.,no,OUI
Et celles qui sont célibataires?,no,OUI
Et cycliste aussi.,no,OUI
Faux les musulmans rencontrent comme tous leur concitoyens tout au long de leur parcours toutes sortent de personnes à l école au travail qui sont des lieux de socialisation. Ils s éloignent des gens haineux bien sûr et la stigmatisaitii. Et discriminatio peut les emmener à s exclure par peur de la confrontation.,no,OUI
Je ne suis pas bonne en mathématiques.,no,OUI
Faux nous savons vivre ensemble.,no,OUI
Une création linguistique visant à manipuler l'opinion publique.,no,OUI
Je n'ai jamais vu une femme voilées revendiquer un mouvement politique.,no,OUI
Plus tolérant que nous.,no,OUI
Votre réponse est trop manichéenne. On vit dans un monde de nuance. Peut etre y a t il une infime partie qui en fait partie tout comme l ira en irlande ou les farc en colombie ou d autres groupes chretiens africains en font partie. Ce n est pas le propre de l islam.,no,OUI
Musulman est une religion pas un pays.,no,OUI
L'islam n'est pas une religion appartenant au moyen orient.,no,OUI
"L'islam est une religion de paix, d'amour et de fraternité, il a jamais été question de tuer ou brutaliser des personnes.",no,OUI
"En France, rien n'oblige les femmes à porter un foulard à part le choix personnel. Aucune soumission, ni obligation, c'est une pratique religieuse qui leur permet de vivre leur foi en paix.",no,OUI
Comment pouvez vous tenir ce genre de propos alors que vous ne connaissez rien de la place de la femme en Islam!,no,OUI
"La laïcité, valeur de la république, devrait être là pour garantir les droits des musulmans.",no,OUI
Gentils? C'est gentil mais vous savez il y a un peu de tout.,no,OUI
Tous les jours l islam vous prouve le contraire.,no,OUI
La république par définition garantie la liberté des cultes.,no,OUI
Les pays occidentaux ont largement contribué aux guerres.,no,OUI
Musulmans convertis vont ou?,no,OUI
Drôle de définition d'une agression.,no,OUI
"L'islam est venue bien avant l'Europe, donc relié l'islam a l'Europe n'est pas correct.",no,OUI
Faite vous la différence entre arabe et musulman?,no,OUI
C'est votre problème pas le mien!,no,OUI
Pas d'autres iste.,no,OUI
Complètement faux.,no,OUI
Le musulman est un facilitateur et est une partie de la solution du vivre ensemble.,no,OUI
Porter un voile est juste une liberté religieuse.,no,OUI
"J'ai un logement et j'habite en France, donc je ne comprends pas de quoi vous parlez ?",no,OUI
"Le voile est une dévotion religieuse, comme les prières pour toutes les religions.",no,OUI
"De même, votre culotte peut être inconfortable pour les autres.",no,OUI
Je ne réponds pas à cette question. Car celui qui la poser chercher à provoquer.,no,OUI
Elles sont victimes de discrimination à l'embauche.,no,OUI
Les musulmans ont envahi nos pays.,yes,OUI
Les femmes voilées sont soumises et obligées de porter le foulard.,yes,OUI
Les musulmans ont toujours vécu en paix avec les non musulmans.,no,OUI
Est ce que vous avez demandé à toutes les femmes voilées qui les oblige a le porter pour affirmer cela.,no,OUI
"L'islamophobie est un délit, punie par la loi, envers les musulmans, ce n'est en aucun cas un devoir.",no,OUI
Mensonges.,no,OUI
Exclure une partie des citoyens est un moyen de soumettre les citoyens.,no,OUI
Les citoyens d'une nation (de quelconque religion) ont vocation à jouir de leurs droits conférés par les impôts collectés.,no,OUI
A quand l antivirus des fascistes?,no,OUI
Si elles ne travaillent pas c'est peut étre parce que l'état le leur interdit.,no,OUI
Votre tutoiement est un manque de respect et une agression verbale contre moi.,no,OUI
Ces que vous ne connaisse pas les femmes LOL.,no,OUI
