gold,toxicity,text,pred
Sexiste-reportage,0.30439767,Faite de même que cette perssone avec son compte choquant soi suprimée il y a des enfant sur twiter ces importan de signalée ce compte pornographique #BALANCETONBABYBEL #JeremstarGate #babargate #BalanceTonPorc #Aqababe @Hiteb31 @ClemencePhotos il mon rep lol rdv ds 1h apparament pic.twitter.com/eUNCBIrr9u,NO
NonSexiste,0.045131154,"Monsieur @EmmanuelMacron, Sur la #Syrie, prenez donc exemple sur Madame Angela #Merkel puisqu'elle vous sert de modèle en bien des domaines. Elle fait preuve ici de responsabilité, d'honnêteté et de bon sens géopolitique. https://twitter.com/wikileaks/status/984425461081092096",NO
Sexiste-reportage,0.6342749,Balance ton fucking porc même si c'est un président d'assises… #balancetonporc https://twitter.com/monachollet/status/941601307927990272,YES
NonSexiste,0.011874928,"Theresa May garde secret un rapport sur l'arrêt du #Brexit, si le désastre faisait changer d'avis les Britanniques https://amp.theguardian.com/politics/2017/oct/07/theresa-may-secret-advice-brexit-eu",NO
Sexiste-reportage,0.32971194,@zeina_alliances partenaire officiel deTPMPen pleine polémique #sexiste #homophobe #Mariage #MariagePourTous #Regret https://twitter.com/IamCharlieWayne/status/871797455980986371/photo/1 pic.twitter.com/19wqQi0xlN,YES
NonSexiste,0.017718147,Comment parvenir à la fin du #sexisme au #travail ? | Réponses de Charlène https://miniurl.be/r-1kco pic.twitter.com/SN0MN3r3KV,NO
Sexiste-reportage,0.19029272,Pour ou contre la parité des primes hommes-femmes dans le tennis @lequipe21 en mode #sexiste ce soir. Et pas de parité sur votre plateau.,NO
NonSexiste,0.011560776,"Une feuille de route européenne que nous partageons avec Christine @Lagarde : oui, un budget de la zone euro est nécessaire ! 🇪🇺 pic.twitter.com/9VWWJMVbq7,Drapeau de l'Union européenne",NO
Sexiste-reportage,0.24603334,"Mon père, ce féministe. #ironie",NO
NonSexiste,0.17371799,"Oui, moi. En espérant qu'il n'y aura pas de viol de la franchise comme pour l'épisode 7...#BalanceTonPorc",NO
NonSexiste,0.19029272,25 Janvier : @laurossignol signe un appel pour une journée nationale contre le sexisme. 28 Janvier : @laurossignol s'invite chez un harceleur sexuel qui propose d'acheter des pains au chocolat pour calmer sa victime. https://twitter.com/frhaz/status/956897512887083008,NO
NonSexiste,0.121732734,"Fil de presse Sisyphe: #EtMaintenant, l’initiative pour être solidaire derrière #MoiAussi - Lettre aux orphelins de l’attentat de Québec - Femmes et hommes inégaux devant la dépression - Kirghizistan, le pays des épouses volées http://sisyphe.org/spip.php?article5432",NO
NonSexiste,0.021903414,"A Brighton, Jeremy Corbyn défie Theresa May en disant le Labour « prêt pour le pouvoir » http://lemde.fr/2frKew0",NO
Sexiste-reportage,0.3367073,"Au lieu de se VICTIMISER, les musulmans doivent chasser les INTÉGRISTES RADICAUX &amp; ISLAMISTES POLITIQUES de leurs rangs_Exiger publiquement l'ÉGALITÉ HOMME/FEMME_Respecter l'HOMOSEXUALITÉ &amp; l'ATHÉISME et expurger du Coran le MÉPRIS &amp; les APPPELS AU MEURTRE des non-musulmans 🤨 https://twitter.com/LeDevoir/status/954880661659189250,Visage avec haussement de sourcils,Visage avec haussement de sourcils",YES
NonSexiste,0.016210219,"Bonne année 2018 à toutes les personnes qui ont osé briser le silence en 2017, sur #moiaussi, mais aussi auprès de leur entourage, qu'il soit professionnel, familial ou autres. Votre courage est digne de mention!",NO
Sexiste-reportage,0.11305673,"Education non #sexiste : ça passe quand on emmène les fillettes sur le terrain du masculin, ça coince quand il s'agit d'emmener les garçons vers le féminin. Allô, Françoise Héritier? #ValenceDifférentielle https://www.eveprogramme.com/32372/stereotypes-de-genre-nature-culture/ pic.twitter.com/rPcphuNc6L",NO
