gold,toxicity,text,pred
NonSexiste,0.012126249,Egalité homme-femme : la négociation plutôt qu'une loi http://po.st/8Ql3CL via @LesEchos,NO
Sexiste-reportage,0.33421695,"Royal les rendrait elle tous fous? Alain Destrem (UMP): Ségolène Royal en boubou bleu, ça me rappelle ma femme de ménage !",NO
NonSexiste,0.2043827,"Femme forte et indépendante, Christine Lagarde a logiquement décidé de se prendre elle-même à la gorge. pic.twitter.com/xbTcj6MXpk",NO
NonSexiste,0.0064715217,"Catherine Deneuve, l'autre reine de la Royal Command Performance (17 mars 1966). À ses côtés, son mari David Bailey, Ursula Andress et Julie Christie. La chanson illustrant ce montage: Noir et blanc chanté par Igit et... #CatherineDeneuve (en 2017) pic.twitter.com/nZxKnHHkf8",NO
NonSexiste,0.23415339,Lettre ouverte à Louis C.K. #balancetonporc #gallicanautes https://herve-gasser.com/2017/11/18/louis-louis-oh-no-lettre-ouverte-a-louis-c-k/ pic.twitter.com/MaXcoow1dw,NO
NonSexiste,0.015896067,"Lutter contre le sexisme, c’est aussi casser les clichés !#EnsembleContreLeSexisme pic.twitter.com/dMSADxs6NP",NO
NonSexiste,0.0023247213,Match de hockey féminin à 16 h aujourd’hui à l’arena J.-Louis-Levesque alors que les Aigles Bleues accueillent DAL. Venez encourager notre équipe! #goaiglesgo #aiglesbleues #universitedemoncton,NO
Sexiste,0.25462922,@leonera19 surtout pour un tir de femme enceinte !,NO
NonSexiste,0.0109324735,Les femmes marcheront dans la foulée du mouvement #MoiAussi http://bit.ly/2mUyfKR,NO
NonSexiste,0.014576632,"Quel est, selon vous, le meilleur allié de la France ? #MacronUSA #USA #Allié #RoyaumeUni #Allemagne @EmmanuelMacron @realDonaldTrump @theresa_may",NO
NonSexiste,0.02402467,Ahhh ces français! #etmaintenant #moiaussi https://fb.me/2Bjj1pOqT,NO
NonSexiste,0.029799197,Donc hermoso a mis un triplé mdrr 2 csc il a été élu Homme du match,NO
NonSexiste,0.011623607,Angela Merkel en visite à Washington ce vendredi http://dlvr.it/QQxSMv pic.twitter.com/qgKJjiYc16,NO
Sexiste-reportage,0.15545623,En fait ma mère est bourrée de contradiction ... Comme tout le monde me direz-vous. Mais genre ne pas accepter de rire ou de voir rire sur le hashtag balancetonporc tout en culpabilisant certaines femmes de jouer les agicheuses ... Je comprends plus rien.,NO
NonSexiste,0.19219314,"#LREM #Macron Sous évaluations de son patrimoine, accusation de viol, emplois fictifs, prises illégales d'intérêt etc Tels sont les themes qui accompagnent ce gouvernement irreprochablevoulant faire de la politique autrement.C'est clair tout a changé depuis l'élection de Macron pic.twitter.com/TIWunUvlHY",NO
NonSexiste,0.015204934,Angela Merkel à @hannover_messe « Nous allons accélérer nos efforts pour que l’Allemagne soit le leader mondial en intelligence artificielle! » pic.twitter.com/hXTV5MgJVv,NO
NonSexiste,0.34328604,Le New Yorker démontre très bien l'hypocrisie et l’ambiguïté de @manuelvalls How the Tariq Ramadan Scandal Derailed the #Balancetonporc Movement in France https://www.newyorker.com/news/news-desk/how-the-tariq-ramadan-scandal-derailed-the-balancetonporc-movement-in-france,NO
NonSexiste,0.04290464,"« Des victimes de Monier, on en connaît plein ici »: Le Parisien publie d'autres témoignages sur Eric Monier http://www.leparisien.fr/culture-loisirs/tv/harcelement-sexuel-une-journaliste-accuse-l-ancien-directeur-de-la-redaction-de-france-2-31-10-2017-7365783.php#xtor=AD-1481423554 pic.twitter.com/FsBBEx50E4",NO
NonSexiste,0.016712861,Marion Cotillard sévère sur la tribune signée par Catherine Deneuve : 'Je ne me reconnais pas du tout dedans' https://goo.gl/6uyWJt,NO
Sexiste-reportage,0.20056234,"En pleine polémique #Sexiste et #Homophobe TPMP, quelques heures après condamnation du CSA, @Gleedend assume sa fidélité au show humiliant pic.twitter.com/OOBX0Sq3DW",NO
NonSexiste,0.20572066,"#BalanceTonPorc 1 policier de 32ans a été mis en examen puis écroué pr viols sur mineur et détention d’images pédopornographiques ce soir à #Versailles. Il est soupçonné d’avoir violé et agressé sexuellement 7 enfants, âgés de 2 à 8 ans entre 2012 et 2018. http://m.leparisien.fr/amp/faits-divers/un-policier-ecroue-pour-viols-et-agressions-sexuelles-sur-plusieurs-jeunes-enfants-05-03-2018-7592214.php?__twitter_impression=true",NO
NonSexiste,0.03781283,#VendrediLecture #sexisme l'article de @titiou sur les femmes que les hommes ont fait disparaître en littérature http://www.slate.fr/story/156146/litterature-auteures-oubliees-effacees,NO
NonSexiste,0.568186,"Prendre 1 femme enceinte en otage, je ne donne pas cher de vos vies les crapauds ! Pour le tir d'1 cartouche en pleine tête! Approvisionnez",YES
Sexiste-reportage,0.28674445,«Ici la voix ! Montre-moi tes seins !» Lyon — pont de la Guillotière #payetashnek,NO
Sexiste,0.39915034,Fastoche. Anne Hidalgo est une femme. Les femmes aiment faire le ménage. Anne Hidalgo devrait donc nettoyer elle-même les rues de Paris #logiqueLR #payetashnek #payetarobe #payetout #etlaissetonboulotàunhommededroitemerde,NO
NonSexiste,0.1893425,Gérald #Darmanin visé par une enquête pour viol ! Ses jours au côté d’Emmanuel Macron sont comptés... Jean-Vincent Placé vient d’annuler en urgence ses vacances ! pic.twitter.com/jtI4jYdLVI,NO
NonSexiste,0.10739898,"Le @TIME nomme #PersonOfTheYear celles et ceux ayant brisé le silence, et j’ai la chair de poule http://www.madmoizelle.com/time-person-year-2017-briser-silence-863199 #MoiAussi pic.twitter.com/YLG2VM0OlN",NO
Sexiste,0.22980402,@jeremyhenriet Vous avez raison ! C'est vrai qu'une femme doit être soumise à son mari. #ironie,NO
NonSexiste,0.0026074578,"Ce soir, j’ai vu Catherine Deneuve et elle m’a dit « Bonsoir » dans les yeux. C’est en effet un excellent soir. Merci @Angers, Merci @PremiersPlans 💛💛,Cœur jaune",NO
NonSexiste,0.20009702,Allégations d'inconduites sexuelles contre le tatoueur Steve Savard http://dai.ly/x6c42nz #polqc #Moiaussi #BalanceTonPorc #salvail #rozon #parent #brûlé #venne #giovanniapollo #archambault #savard pic.twitter.com/AKTqipN4FU,NO
NonSexiste,0.01225191,"Ça va pas ben mon CA, 0 en 2, tu n'es pas le seul par contre. ;) #moiaussi",NO
NonSexiste,0.20195828,#BalancetonPorc .. -- #DavidHamilton : 5 choses à savoir sur le photographe accusé par Flavie Flament de l'avoir violée https://www.femmeactuelle.fr/actu/news-actu/david-hamilton-photographe-accuse-viol-flavie-flament-44641,NO
NonSexiste,0.1373533,Le #BABARGATE est officiellement lancé ce soir !! A vos tweets et révelations! #BalancetonBabar #BalanceTonPorc #JeremstarGate #AffaireJeremsstar #CardonnaGate #babybelgate #Balancetonbabybel #Babybel #Jeremstar #C8 #LGBT pic.twitter.com/sgNatOSKme,NO
NonSexiste,0.10739898,"#Valerie en prison pour avoir protégé sa vie . Aidez la #balancetonporc https://www.change.org/p/lib%C3%A9ration-de-val%C3%A9rie-et-vote-d-une-nouvelle-loi-de-protection-des-femmes-battues-et-viol%C3%A9es?recruiter=674588411&amp,utm_source=share_petition&amp,utm_medium=copylink&amp,utm_campaign=share_petition&amp,utm_term=share_petition pic.twitter.com/0Gq2LXnN5l",NO
Sexiste-reportage,0.06381883,"Chez Samsung, la femme est au centre de la... cuisine #CESSoMale #ces2018 pic.twitter.com/QUVzoKWsn5",NO
NonSexiste,0.006502937,#WomensDayByFCBN #PayetaShnek Nous continuons notre campagne de sensibilisation. RDV le 8 mars devant la mairie à 16h! pic.twitter.com/Z9hOkKRj1Z,NO
NonSexiste,0.14429577,Y avait pas genre 1 polémique #balancetonporc indigne pas le droit moral d'animaliser les humains historiquement ref aux procédés nazis etc..? Donc pr les requins c ok? Où on ne fait 1 échelle de valeur animale ? https://twitter.com/VotezNon/status/970768311775526912,NO
NonSexiste,0.0035813276,"La @BrestArena se remplit très vite pour le match des Bleues 🇫🇷 le 14 février prochain. Déjà plus de 3000 places 🎫 vendues ! Réservez vos places ➡ http://bit.ly/2FLg1nG 🏀 pic.twitter.com/wWqd3V1ApE🇫🇷🎫➡🏀,Drapeau de la France,Ticket,Flèche vers la droite,Basket-ball ",NO
Sexiste-reportage,0.20219094,"Sur #gulli, Timber et la carte au trésor, particulièrement #sexiste et insultant pour les filles. #SexismePasNotreGenre @gulli",YES
NonSexiste,0.11388343,"Maintenant, la propagande idéologique féministe s’approprie même les meurtres.",NO
NonSexiste,0.033334624,Aurore Bergé s'exprime sur le harcèlement .... https://twitter.com/sandrafellous_/status/967503965385523200,NO
Sexiste-reportage,0.681338,"#balancetonporc J'ai envie de te violer Un de mes ex qui, pendant 9 mois, m'a envoyé ce genre de messages. J'avais 16 ans, et lui 20.",NO
Sexiste-reportage,0.36867723,«J'ai envie de vomir tellement que t'es belle.» Salon de Provence — arrêt de bus #payetashnek #stopharcelementderue,NO
Sexiste-reportage,0.13908891,Qui se souvient de ceci ? Qu'en est-il de la situation actuelle ? http://www.letudiant.fr/educpros/actualite/sexisme-et-harcelement-des-etudiantes-dans-les-ecoles-d-art-la-fin-de-l-omerta.html #BalanceTonPorc #EcolesdArt,NO
Sexiste,0.2667042,"Vouloir frapper une fille c’est vraiment se comporter comme un homme félicitation😪,Visage somnolent",NO
Sexiste-reportage,0.09112182,"Là, on entend bien l'enchainement et la continuité des conséquences du sexisme sur la construction sociale d'une jeune fille. https://twitter.com/RobinAndraca/status/955443229461307393",NO
NonSexiste,0.007351146,GB : Theresa May va présenter son projet pour protéger les droits des citoyens de l'UE affectés par le Brexit http://u.afp.com/4hmg #AFP pic.twitter.com/UP5qlLYgR9,NO
NonSexiste,0.19694418,Margaret Thatcher ... ou la femme la plus aimé (#Ironie) est morte aujourd'hui,NO
NonSexiste,0.031449065,Rendez-vous après les #QAG sur @LCP : on débat de la #LoiAsileImmigration qui allie 2 objectifs #Humanité_Efficacité pic.twitter.com/aAmlrOAz0C,NO
Sexiste-reportage,0.37073207,#LMPT #finkielkraut et #zemmour valident amplement ce choix #homophobe et #sexiste à la tête des ex-@lesRepublicains https://twitter.com/Europe1/status/939942076032081920,YES
NonSexiste,0.0021676456,"♫ En ce moment sur Equinoxe, la radio découverte (Namur) : Chimères Bleues : Soleil sur le Nihil -&gt; http://bit.ly/1GnXiwC",NO
NonSexiste,0.18554166,"C'est vraiment dingue tout ce qu'on peut faire par accident. Genre étrangler sa femme, brûler son cadavre, l'abandonner dans la forêt et jouer le rôle du veuf inconsolable pendant 3 mois devant ses beaux-parents. #JonathannDaval",NO
NonSexiste,0.005277746,"Travail a domicile: Milla (Les Anges 9) enceinte, Barbara (SS11) clashe Tanya, Nabilla en larmes… Le meltyZap #4 http://travail-internet-domicile.net/milla-les-anges-9-enceinte-barbara-ss11-clashe-tanya-nabilla-en-larmes-le-meltyzap-4/",NO
